original_reactions,updated_reaction,mechanistic_class,mechanistic_label,data_source
F[c:1]1[c:2]([NH:3][S:4]([CH3:5])(=[O:6])=[O:7])[cH:8][c:9]([N+:10](=[O:11])[O-:12])[cH:13][cH:14]1.[OH:15][CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1>>[c:1]1([O:15][CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[c:2]([NH:3][S:4]([CH3:5])(=[O:6])=[O:7])[cH:8][c:9]([N+:10](=[O:11])[O-:12])[cH:13][cH:14]1,[F:101][c:1]1[c:2]([NH:3][S:4]([CH3:5])(=[O:6])=[O:7])[cH:8][c:9]([N+:10](=[O:11])[OH:12])[cH:13][cH:14]1.[OH:15][CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1.[H-:301].[Na+]>>[c:1]1([O:15][CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[c:2]([NH:3][S:4]([CH3:5])(=[O:6])=[O:7])[cH:8][c:9]([N+:10](=[O:11])[OH:12])[cH:13][cH:14]1,SNAr_alco(thi)ol(para),"[(301, 15.1), ([15.1, 15], 15), (15, 1), ([1, 14], [14, 13]), ([13, 9], [9, 10]), ([10, 11], 11), (11, [11, 10]), ([10, 9], [9, 13]), ([13, 14], [14, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[CH3:1][C:2](=[O:3])OC(C)=O.[NH2:4][c:5]1[cH:34][cH:33][c:8]([CH:9]=[CH:10][CH2:11][N:12]2[CH2:13][CH2:14][C:15](=[C:16]3[c:17]4[cH:18][cH:19][cH:20][cH:21][c:22]4[CH:23]=[CH:24][c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]43)[CH2:31][CH2:32]2)[cH:7][cH:6]1>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH:10][CH2:11][N:12]2[CH2:13][CH2:14][C:15](=[C:16]3[c:17]4[cH:18][cH:19][cH:20][cH:21][c:22]4[CH:23]=[CH:24][c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]43)[CH2:31][CH2:32]2)[cH:33][cH:34]1,[NH2:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH:10][CH2:11][N:12]2[CH2:13][CH2:14][C:15](=[C:16]3[c:17]4[cH:18][cH:19][cH:20][cH:21][c:22]4[CH:23]=[CH:24][c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]43)[CH2:31][CH2:32]2)[cH:33][cH:34]1.CC(=O)[O:101][C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[CH:10][CH2:11][N:12]2[CH2:13][CH2:14][C:15](=[C:16]3[c:17]4[cH:18][cH:19][cH:20][cH:21][c:22]4[CH:23]=[CH:24][c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]43)[CH2:31][CH2:32]2)[cH:33][cH:34]1,nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(4, 2), ([2, 3], 3), (3, [3, 2]), ([2, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[C:1]([CH3:2])=[O:3].[CH3:4][N:5]([CH3:6])[CH2:7][CH2:8][n:9]1[cH:10][cH:11][c:12]2[c:13]3[n:14][c:15](-[c:16]4[cH:17][cH:18][c:19]([NH2:20])[cH:21][cH:22]4)[n:23][c:24]([N:25]4[CH2:26][CH2:27][O:28][CH2:29][CH2:30]4)[c:31]3[cH:32][cH:33][c:34]12>>[C:1]([CH3:2])(=[O:3])[NH:20][c:19]1[cH:18][cH:17][c:16](-[c:15]2[n:14][c:13]3[c:12]4[cH:11][cH:10][n:9]([CH2:8][CH2:7][N:5]([CH3:4])[CH3:6])[c:34]4[cH:33][cH:32][c:31]3[c:24]([N:25]3[CH2:26][CH2:27][O:28][CH2:29][CH2:30]3)[n:23]2)[cH:22][cH:21]1,[CH3:4][N:5]([CH3:6])[CH2:7][CH2:8][n:9]1[cH:10][cH:11][c:12]2[c:13]3[n:14][c:15](-[c:16]4[cH:17][cH:18][c:19]([NH2:20])[cH:21][cH:22]4)[n:23][c:24]([N:25]4[CH2:26][CH2:27][O:28][CH2:29][CH2:30]4)[c:31]3[cH:32][cH:33][c:34]12.[Cl:101][C:1]([CH3:2])=[O:3]>>[C:1]([CH3:2])(=[O:3])[NH:20][c:19]1[cH:18][cH:17][c:16](-[c:15]2[n:14][c:13]3[c:12]4[cH:11][cH:10][n:9]([CH2:8][CH2:7][N:5]([CH3:4])[CH3:6])[c:34]4[cH:33][cH:32][c:31]3[c:24]([N:25]3[CH2:26][CH2:27][O:28][CH2:29][CH2:30]3)[n:23]2)[cH:22][cH:21]1,nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(20, 1), ([1, 3], 3), (3, [3, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
I[CH3:1].[O:2]=[C:3]([NH:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[c:14]2[cH:15][cH:16][c:17]([OH:18])[c:19]([OH:20])[cH:21]2)[cH:22][cH:23]1)[C:24]([F:25])([F:26])[F:27]>>[CH3:1][O:18][c:17]1[cH:16][cH:15][c:14]([S:11]([c:10]2[cH:9][cH:8][c:7]([CH2:6][CH2:5][NH:4][C:3](=[O:2])[C:24]([F:25])([F:26])[F:27])[cH:23][cH:22]2)(=[O:12])=[O:13])[cH:21][c:19]1[OH:20],[O:2]=[C:3]([NH:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[c:14]2[cH:15][cH:16][c:17]([OH:18])[c:19]([OH:20])[cH:21]2)[cH:22][cH:23]1)[C:24]([F:25])([F:26])[F:27].[I:101][CH3:1].[H-:301].[Na+]>>[CH3:1][O:18][c:17]1[cH:16][cH:15][c:14]([S:11]([c:10]2[cH:9][cH:8][c:7]([CH2:6][CH2:5][NH:4][C:3](=[O:2])[C:24]([F:25])([F:26])[F:27])[cH:23][cH:22]2)(=[O:12])=[O:13])[cH:21][c:19]1[OH:20],SN2_alcohol(thiol),"[(301, 18.1), ([18.1, 18], 18), (18, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1](=[O:2])[CH:3]([c:4]1[cH:5][c:6]([F:7])[cH:8][c:9]([F:10])[cH:11]1)[CH:12]1[CH2:13][N:14]([CH:15]([c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21][cH:22]2)[c:23]2[cH:24][cH:25][c:26]([Cl:27])[cH:28][cH:29]2)[CH2:30]1.[CH3:31][NH2:32]>>[C:1](=[O:2])([CH:3]([c:4]1[cH:5][c:6]([F:7])[cH:8][c:9]([F:10])[cH:11]1)[CH:12]1[CH2:13][N:14]([CH:15]([c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21][cH:22]2)[c:23]2[cH:24][cH:25][c:26]([Cl:27])[cH:28][cH:29]2)[CH2:30]1)[NH:32][CH3:31],[OH:101][C:1](=[O:2])[CH:3]([c:4]1[cH:5][c:6]([F:7])[cH:8][c:9]([F:10])[cH:11]1)[CH:12]1[CH2:13][N:14]([CH:15]([c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21][cH:22]2)[c:23]2[cH:24][cH:25][c:26]([Cl:27])[cH:28][cH:29]2)[CH2:30]1.[CH3:31][NH2:32].[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1](=[O:2])([CH:3]([c:4]1[cH:5][c:6]([F:7])[cH:8][c:9]([F:10])[cH:11]1)[CH:12]1[CH2:13][N:14]([CH:15]([c:16]2[cH:17][cH:18][c:19]([Cl:20])[cH:21][cH:22]2)[c:23]2[cH:24][cH:25][c:26]([Cl:27])[cH:28][cH:29]2)[CH2:30]1)[NH:32][CH3:31],DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (32, 1), ([1, 2], 2), (303, 32.1), ([32.1, 32], 32), (2, [2, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH2:1][C:2]([O:3][CH3:4])=[O:5].[CH3:6][O:7][C:8](=[O:9])[c:10]1[cH:11][cH:12][c:13]([OH:14])[c:15]([N+:16](=[O:17])[O-:18])[cH:19]1>>[CH2:1]([C:2]([O:3][CH3:4])=[O:5])[O:14][c:13]1[cH:12][cH:11][c:10]([C:8]([O:7][CH3:6])=[O:9])[cH:19][c:15]1[N+:16](=[O:17])[O-:18],[CH3:6][O:7][C:8](=[O:9])[c:10]1[cH:11][cH:12][c:13]([OH:14])[c:15]([N+:16](=[O:17])[OH:18])[cH:19]1.[Br:101][CH2:1][C:2]([O:3][CH3:4])=[O:5].[H-:301].[Na+]>>[CH2:1]([C:2]([O:3][CH3:4])=[O:5])[O:14][c:13]1[cH:12][cH:11][c:10]([C:8]([O:7][CH3:6])=[O:9])[cH:19][c:15]1[N+:16](=[O:17])[OH:18],SN2_alcohol(thiol),"[(301, 14.1), ([14.1, 14], 14), (14, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[CH3:12][CH:13]([CH3:14])[O:15][C:16](=[O:17])[c:18]1[cH:19][c:20]([N:21]=[C:22]=[O:23])[c:24]([F:25])[cH:26][c:27]1[Cl:28].[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6]([F:7])=[C:8](\[NH2:9])[CH2:10][F:11]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])=[C:8]([NH:9][C:22]([NH:21][c:20]1[cH:19][c:18]([C:16]([O:15][CH:13]([CH3:12])[CH3:14])=[O:17])[c:27]([Cl:28])[cH:26][c:24]1[F:25])=[O:23])[CH2:10][F:11],[CH3:12][CH:13]([CH3:14])[O:15][C:16](=[O:17])[c:18]1[cH:19][c:20]([N:21]=[C:22]=[O:23])[c:24]([F:25])[cH:26][c:27]1[Cl:28].[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6]([F:7])=[C:8](\[NH2:9])[CH2:10][F:11]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([F:7])=[C:8]([NH:9][C:22]([NH:21][c:20]1[cH:19][c:18]([C:16]([O:15][CH:13]([CH3:12])[CH3:14])=[O:17])[c:27]([Cl:28])[cH:26][c:24]1[F:25])=[O:23])[CH2:10][F:11],nucleophilic_attack_to_iso(thio)cyanate,"[(9, 22), ([22, 23], 23), (23, 9.1), ([9.1, 9], 9), (23, [23, 22]), ([22, 21], 21), (21, 23.1), ([23.1, 23], 23)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[CH3:1][NH:2][S:3](=[O:4])(=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([C:12]#[N:13])[cH:14]1>>[CH3:1][NH:2][S:3](=[O:4])(=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][NH2:13])[cH:14]1,[CH3:1][NH:2][S:3](=[O:4])(=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([C:12]#[N:13])[cH:14]1.[Li+:301].[AlH4-:302].[OH2:303].[OH2:304]>>[CH3:1][NH:2][S:3](=[O:4])(=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][NH2:13])[cH:14]1,nitrile_reduction,"[([302, 302.1], 12), ([12, 13], 301), ([302, 302.1], 12), ([12, 13], 302), ([301, 13], 303.1), ([303.1, 303], 303), ([302, 13], 304.1), ([304.1, 304], 304)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[s:9]1.[NH2:10][c:11]1[cH:12][cH:13][c:14]([F:15])[c:16]([NH:17][c:18]2[n:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[n:25][cH:26][n:27][c:28]3[c:29]2[n:30][cH:31][n:32]3[CH:33]2[CH2:34][CH2:35][CH2:36][CH2:37][O:38]2)[c:39]1[F:40]>>[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][c:7]([Cl:8])[s:9]1)[NH:10][c:11]1[cH:12][cH:13][c:14]([F:15])[c:16]([NH:17][c:18]2[n:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[n:25][cH:26][n:27][c:28]3[c:29]2[n:30][cH:31][n:32]3[CH:33]2[CH2:34][CH2:35][CH2:36][CH2:37][O:38]2)[c:39]1[F:40],[NH2:10][c:11]1[cH:12][cH:13][c:14]([F:15])[c:16]([NH:17][c:18]2[n:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[n:25][cH:26][n:27][c:28]3[c:29]2[n:30][cH:31][n:32]3[CH:33]2[CH2:34][CH2:35][CH2:36][CH2:37][O:38]2)[c:39]1[F:40].[Cl:101][S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[s:9]1>>[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][c:7]([Cl:8])[s:9]1)[NH:10][c:11]1[cH:12][cH:13][c:14]([F:15])[c:16]([NH:17][c:18]2[n:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[n:25][cH:26][n:27][c:28]3[c:29]2[n:30][cH:31][n:32]3[CH:33]2[CH2:34][CH2:35][CH2:36][CH2:37][O:38]2)[c:39]1[F:40],nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(10, 1), ([1, 2], 2), (2, [2, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([N+:6](=[O:7])[O-:8])[cH:9][cH:10]1)(=[O:11])=[O:12].[NH2:13][c:14]1[cH:15][cH:16][n:17][cH:18][n:19]1>>[S:1]([c:2]1[cH:3][cH:4][c:5]([N+:6](=[O:7])[O-:8])[cH:9][cH:10]1)(=[O:11])(=[O:12])[NH:13][c:14]1[cH:15][cH:16][n:17][cH:18][n:19]1,[Cl:101][S:1]([c:2]1[cH:3][cH:4][c:5]([N+:6](=[O:7])[OH:8])[cH:9][cH:10]1)(=[O:11])=[O:12].[NH2:13][c:14]1[cH:15][cH:16][n:17][cH:18][n:19]1>>[S:1]([c:2]1[cH:3][cH:4][c:5]([N+:6](=[O:7])[OH:8])[cH:9][cH:10]1)(=[O:11])(=[O:12])[NH:13][c:14]1[cH:15][cH:16][n:17][cH:18][n:19]1,nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,"[(13, 1), ([1, 11], 11), (11, [11, 1]), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[NH:15][C@@H:16]([c:17]1[n:18][c:19](-[c:20]2[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]2[F:27])[cH:28][nH:29]1)[CH:30]1[CH2:31][CH2:32][O:33][CH2:34][CH2:35]1>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[n:29]1[c:17]([C@H:16]([NH:15][C:13]([O:12][C:9]([CH3:8])([CH3:10])[CH3:11])=[O:14])[CH:30]2[CH2:31][CH2:32][O:33][CH2:34][CH2:35]2)[n:18][c:19](-[c:20]2[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]2[F:27])[cH:28]1,[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[NH:15][C@@H:16]([c:17]1[n:18][c:19](-[c:20]2[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]2[F:27])[cH:28][nH:29]1)[CH:30]1[CH2:31][CH2:32][O:33][CH2:34][CH2:35]1.[Br:101][CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[n:29]1[c:17]([C@H:16]([NH:15][C:13]([O:12][C:9]([CH3:8])([CH3:10])[CH3:11])=[O:14])[CH:30]2[CH2:31][CH2:32][O:33][CH2:34][CH2:35]2)[n:18][c:19](-[c:20]2[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]2[F:27])[cH:28]1,SN2,"[(29, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
CCO[C:1](=[O:2])[c:3]1[cH:18][cH:17][c:6]([CH2:7][CH2:8][NH:9][C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[cH:5][cH:4]1>>[CH2:1]([OH:2])[c:3]1[cH:4][cH:5][c:6]([CH2:7][CH2:8][NH:9][C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][cH:18]1,CC[O:101][C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([CH2:7][CH2:8][NH:9][C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][cH:18]1.[AlH4-:301].[AlH4-:302].[H+:303]>>[CH2:1]([OH:2])[c:3]1[cH:4][cH:5][c:6]([CH2:7][CH2:8][NH:9][C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[cH:17][cH:18]1,ester_reduction,"[([301, 301.1], 1), ([1, 2], 2), (2, [2, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 2], 2), (2, 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O=[CH:1][c:2]1[c:3]([CH3:4])[cH:5][cH:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]12.[CH3:14][O:15][c:16]1[cH:17][c:18]([OH:19])[c:20]2[c:21]([c:22]1[C:23]([NH2:24])=[O:25])[O:26][C:27]1=[CH:28][C:29]([OH:30])=[C:31]([C:32]([CH3:33])=[O:34])[C:35](=[O:36])[C@@:37]21[CH3:38]>>[CH2:1]([c:2]1[c:3]([CH3:4])[cH:5][cH:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]12)[NH:24][C:23]([c:22]1[c:16]([O:15][CH3:14])[cH:17][c:18]([OH:19])[c:20]2[c:21]1[O:26][C:27]1=[CH:28][C:29]([OH:30])=[C:31]([C:32]([CH3:33])=[O:34])[C:35](=[O:36])[C@@:37]21[CH3:38])=[O:25],[CH3:14][O:15][c:16]1[cH:17][c:18]([OH:19])[c:20]2[c:21]([c:22]1[C:23]([NH2:24])=[O:25])[O:26][C:27]1=[CH:28][C:29]([OH:30])=[C:31]([C:32]([CH3:33])=[O:34])[C:35](=[O:36])[C@@:37]21[CH3:38].[O:101]=[CH:1][c:2]1[c:3]([CH3:4])[cH:5][cH:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]12.[H+:301].[BH3-:302]C#N.[Na+]>>[CH2:1]([c:2]1[c:3]([CH3:4])[cH:5][cH:6][c:7]2[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]12)[NH:24][C:23]([c:22]1[c:16]([O:15][CH3:14])[cH:17][c:18]([OH:19])[c:20]2[c:21]1[O:26][C:27]1=[CH:28][C:29]([OH:30])=[C:31]([C:32]([CH3:33])=[O:34])[C:35](=[O:36])[C@@:37]21[CH3:38])=[O:25],reductive_amination,"[(24, 1), ([1, 101], 301), (101, 24.1), ([24.1, 24], 24), (24, [24, 1]), ([1, 101], 101), ([302, 302.1], 1), ([1, 24], 24)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([NH:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15](=[O:16])[NH:17][c:18]3[n:19][n:20][nH:21][n:22]3)[cH:23][cH:24]2)[cH:25][cH:26]1.[CH3:27][O:28][C:29](=[O:30])[c:31]1[cH:32][cH:33][cH:34][c:35]([N:36]=[C:37]=[O:38])[cH:39]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([N:9]([CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15](=[O:16])[NH:17][c:18]3[n:19][n:20][nH:21][n:22]3)[cH:23][cH:24]2)[C:37]([NH:36][c:35]2[cH:34][cH:33][cH:32][c:31]([C:29]([O:28][CH3:27])=[O:30])[cH:39]2)=[O:38])[cH:25][cH:26]1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([NH:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15](=[O:16])[NH:17][c:18]3[n:19][n:20][nH:21][n:22]3)[cH:23][cH:24]2)[cH:25][cH:26]1.[CH3:27][O:28][C:29](=[O:30])[c:31]1[cH:32][cH:33][cH:34][c:35]([N:36]=[C:37]=[O:38])[cH:39]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([N:9]([CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15](=[O:16])[NH:17][c:18]3[n:19][n:20][nH:21][n:22]3)[cH:23][cH:24]2)[C:37]([NH:36][c:35]2[cH:34][cH:33][cH:32][c:31]([C:29]([O:28][CH3:27])=[O:30])[cH:39]2)=[O:38])[cH:25][cH:26]1,nucleophilic_attack_to_iso(thio)cyanate,"[(9, 37), ([37, 38], 38), (38, 9.1), ([9.1, 9], 9), (38, [38, 37]), ([37, 36], 36), (36, 38.1), ([38.1, 38], 38)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
CC(C)(C)OC(=O)[NH:1][C@@H:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][s:8]1)[C:9](=[O:10])[N:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1>>[NH2:1][C@@H:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][s:8]1)[C:9](=[O:10])[N:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1,[CH3:202][C:203]([CH3:204])([CH3:205])[O:206][C:101](=[O:201])[NH:1][C@@H:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][s:8]1)[C:9](=[O:10])[N:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1.[H+:301]>>[NH2:1][C@@H:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][s:8]1)[C:9](=[O:10])[N:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1,Boc_deprotection,"[(201, 301), ([203, 206], [206, 101]), ([101, 201], 201), (1, 201.1), ([201.1, 201], 201), (201, [201, 101]), ([101, 1], 1), ([202.1, 202], [202, 203])]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
I[CH3:1].[CH3:2][c:3]1[n:4][c:5]2[cH:6][n:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]2[n:15]1[CH2:16][CH:17]([CH3:18])[OH:19]>>[CH3:1][O:19][CH:17]([CH2:16][n:15]1[c:3]([CH3:2])[n:4][c:5]2[cH:6][n:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]12)[CH3:18],[CH3:2][c:3]1[n:4][c:5]2[cH:6][n:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]2[n:15]1[CH2:16][CH:17]([CH3:18])[OH:19].[I:101][CH3:1].[H-:301].[Na+]>>[CH3:1][O:19][CH:17]([CH2:16][n:15]1[c:3]([CH3:2])[n:4][c:5]2[cH:6][n:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]12)[CH3:18],SN2_alcohol(thiol),"[(301, 19.1), ([19.1, 19], 19), (19, 1), ([1, 101], 101)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
O[C:1]([CH:2]([CH2:3][CH3:4])[N:5]([CH2:6][CH:7]1[CH2:8][CH2:9]1)[c:10]1[cH:11][cH:12][c:13]([C:14]#[N:15])[c:16]([Cl:17])[cH:18]1)=[O:19].[CH3:20][CH2:21][NH2:22]>>[C:1]([CH:2]([CH2:3][CH3:4])[N:5]([CH2:6][CH:7]1[CH2:8][CH2:9]1)[c:10]1[cH:11][cH:12][c:13]([C:14]#[N:15])[c:16]([Cl:17])[cH:18]1)(=[O:19])[NH:22][CH2:21][CH3:20],[OH:101][C:1]([CH:2]([CH2:3][CH3:4])[N:5]([CH2:6][CH:7]1[CH2:8][CH2:9]1)[c:10]1[cH:11][cH:12][c:13]([C:14]#[N:15])[c:16]([Cl:17])[cH:18]1)=[O:19].[CH3:20][CH2:21][NH2:22].[N:301](=[C:302]=[N:303]C1CCCCC1)C2CCCCC2>>[C:1]([CH:2]([CH2:3][CH3:4])[N:5]([CH2:6][CH:7]1[CH2:8][CH2:9]1)[c:10]1[cH:11][cH:12][c:13]([C:14]#[N:15])[c:16]([Cl:17])[cH:18]1)(=[O:19])[NH:22][CH2:21][CH3:20],DCC_condensation,"[(301, 101.1), ([101.1, 101], 101), (101, 302), ([302, 301], 301), (22, 1), ([1, 19], 19), (303, 22.1), ([22.1, 22], 22), (19, [19, 1]), ([1, 101], 101), (101, [101, 302]), ([302, 303], 303)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
[N:10]#[C:11][c:12]1[cH:13][cH:14][c:15]([N:16]=[C:17]=[O:18])[cH:19][cH:20]1.[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][c:7]([NH2:8])[cH:9]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][c:7]([NH:8][C:17]([NH:16][c:15]2[cH:14][cH:13][c:12]([C:11]#[N:10])[cH:20][cH:19]2)=[O:18])[cH:9]1,[N:10]#[C:11][c:12]1[cH:13][cH:14][c:15]([N:16]=[C:17]=[O:18])[cH:19][cH:20]1.[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][c:7]([NH2:8])[cH:9]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][c:7]([NH:8][C:17]([NH:16][c:15]2[cH:14][cH:13][c:12]([C:11]#[N:10])[cH:20][cH:19]2)=[O:18])[cH:9]1,nucleophilic_attack_to_iso(thio)cyanate,"[(8, 17), ([17, 18], 18), (18, 8.1), ([8.1, 8], 8), (18, [18, 17]), ([17, 16], 16), (16, 18.1), ([18.1, 18], 18)]",https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873
